source_domain,target_domain,method,lambda,coverage_seeds,heldout_cross_entropy_mean,heldout_cross_entropy_std,heldout_top1_accuracy_mean,heldout_top1_accuracy_std,heldout_macro_accuracy_mean,heldout_macro_accuracy_std,transductive_full_cross_entropy_mean,transductive_full_cross_entropy_std,transductive_full_top1_accuracy_mean,transductive_full_top1_accuracy_std,transductive_full_macro_accuracy_mean,transductive_full_macro_accuracy_std,transductive_unqueried_cross_entropy_mean,transductive_unqueried_cross_entropy_std,transductive_unqueried_top1_accuracy_mean,transductive_unqueried_top1_accuracy_std,transductive_unqueried_macro_accuracy_mean,transductive_unqueried_macro_accuracy_std
clipart,art,random_regularized_wasserstein,10.0,4,1.4898753328997738,0.06933032090405591,0.6121399176954733,0.024142271477089205,0.5397351953601953,0.016883172867131462,1.3561371364062058,0.018265575530874063,0.6529666254635352,0.010735900029920397,0.5905244479832799,0.0068150601830285484,1.4393438650704837,0.019666270124777147,0.6301054018445322,0.011443139821087736,0.5652604909042773,0.007380650778204396
clipart,art,random_uniform,,4,1.6126084946968793,0.11149699663188099,0.595679012345679,0.024083744672262635,0.5401533882783882,0.01758662811486137,1.4939879188757286,0.016606904557792457,0.626699629171817,0.01026501136714998,0.5747667107878701,0.009945146499209601,1.564265234325522,0.017944215486501224,0.6039745278875713,0.010499696550295997,0.5500731192702017,0.008651861647543049
clipart,art,source_only_uniform,,4,1.8504743430925517,0.10320066612692883,0.5406378600823045,0.026742375466230286,0.4945085470085471,0.02748261775988448,1.8042196268927362,0.0,0.5455294602389782,0.0,0.5039032282098398,0.0,1.8042196268927362,0.0,0.5455294602389782,0.0,0.5039032282098398,0.0
clipart,art,wasserstein_hard_voronoi,,4,1.566185739014558,0.04362001131007067,0.6059670781893004,0.01240270323732862,0.5053632478632478,0.009286033712656672,1.445324542278542,0.021934721732801258,0.6379274824886692,0.00852665928577457,0.5441568432591275,0.012185434891300095,1.5375811415011111,0.023469723849580487,0.6140755379885815,0.00908836279603639,0.5259935240734422,0.01150182295167533
clipart,art,wasserstein_uniform,,4,1.5845324916897257,0.09209229094108619,0.6008230452674896,0.027348973988171314,0.5303548534798534,0.028217469793760025,1.4617043299950134,0.00881921835438717,0.6373094355170993,0.004286908126634722,0.5680213833087171,0.0047732991589952345,1.5354119699347852,0.009583093478325238,0.6144049187527448,0.004903567332585032,0.5501557180802721,0.00573392665807206
clipart,product,random_regularized_wasserstein,10.0,4,0.9995004324124102,0.06289676200555747,0.7438063063063063,0.0154543459836628,0.7186576250216402,0.017093400445547125,0.9682713173241844,0.027214107784270674,0.7499436810092364,0.009206044938816183,0.7251645830310895,0.011862894780928564,0.9989679670257995,0.02849770457223341,0.7411984145488458,0.00952800967204592,0.717418332733417,0.011768372951501523
clipart,product,random_uniform,,4,1.1665193389627166,0.061515822296624736,0.7004504504504504,0.020906757230697178,0.6777252587519913,0.020924986267747726,1.1360932944726536,0.023964877196476782,0.7080423518810542,0.007201787503106899,0.6861775178151674,0.007212651041813618,1.1623552246929851,0.026167945302375574,0.6990557239449755,0.007319655292653306,0.678001809272659,0.006996397286293816
clipart,product,source_only_uniform,,4,1.3941103734933367,0.060618376781260294,0.6362612612612613,0.016879374741679543,0.616110215777845,0.017450786445788968,1.3897034219169704,0.0,0.6368551475557558,0.0,0.6184961833381856,0.0,1.3897034219169704,0.0,0.6368551475557558,0.0,0.6184961833381856,0.0
clipart,product,wasserstein_hard_voronoi,,4,0.8825724798864727,0.03406208302507878,0.773367117117117,0.011860020478963645,0.7484332602811705,0.016967255500129882,0.8563374692233621,0.02057359658020141,0.7870578959225051,0.00510860124823092,0.7654409103099438,0.0016803981381270363,0.8849463715091608,0.0212989762618424,0.7796106318489159,0.00528726531613361,0.7580378447996017,0.0017472290166060816
clipart,product,wasserstein_uniform,,4,1.1027434067069364,0.049600734113354,0.7100225225225225,0.018146594542450205,0.6884688433473859,0.015985832650816562,1.0680857912706403,0.010889050520573046,0.7250506870916873,0.0033337798123335423,0.7053181334994346,0.0020633669464122455,1.0942881425256354,0.011528111569445092,0.7164257402657962,0.0034706634275940805,0.6964552559435766,0.0023455052141634603
